,Have Benefits,Seeks Treatment,Care Options,Wellness Programs,Help Resources,Anonymity
78,No,Yes,No,No,No,Don't know
79,Don't know,No,No,Don't know,Don't know,Don't know
80,Yes,No,Yes,No,Yes,Don't know
81,Yes,No,Not sure,Yes,Don't know,Don't know
82,No,No,No,No,No,Don't know
83,Yes,Yes,Yes,Yes,Yes,Yes
84,No,No,No,No,No,Don't know
85,Don't know,No,Not sure,No,No,Don't know
86,No,Yes,No,No,No,Don't know
87,Yes,Yes,Not sure,No,Don't know,Don't know
88,Yes,Yes,Yes,No,No,Don't know
89,Don't know,No,No,No,Don't know,Don't know
90,Yes,No,Yes,Yes,Yes,Yes
91,No,Yes,Yes,No,No,Yes
92,Don't know,No,No,No,No,Don't know
93,Yes,No,Yes,No,No,Yes
94,Yes,Yes,Yes,No,Don't know,Don't know
95,Don't know,No,No,No,Don't know,Don't know
96,Don't know,No,Not sure,No,Don't know,Don't know
97,Don't know,Yes,No,No,No,Don't know
98,No,Yes,Yes,No,No,Don't know
99,No,Yes,Yes,No,No,Yes
100,No,Yes,Yes,No,No,No
101,Yes,No,Not sure,Don't know,Don't know,Don't know
102,Don't know,No,No,Don't know,Don't know,Don't know
103,Yes,Yes,Yes,Yes,Yes,Yes
104,Yes,No,Not sure,Yes,Don't know,Don't know
105,Yes,No,Not sure,No,No,Yes
106,Don't know,Yes,Not sure,No,No,Don't know
107,No,Yes,No,No,No,No
108,Yes,No,No,No,No,Don't know
109,Yes,Yes,No,Yes,Yes,Yes
110,Yes,Yes,Yes,No,Don't know,Yes
111,Yes,Yes,Yes,Yes,Yes,Yes
112,Yes,Yes,Yes,No,Yes,Yes
113,Yes,No,Yes,No,Don't know,Don't know
114,Don't know,No,No,No,Don't know,Don't know
115,Don't know,No,No,No,Don't know,Don't know
116,No,No,Yes,No,No,Yes
117,Yes,No,Yes,Yes,Yes,Yes
118,No,Yes,No,No,No,Yes
119,Don't know,No,Not sure,No,Don't know,Don't know
120,Yes,No,Yes,No,Yes,Don't know
121,Don't know,No,No,No,No,Don't know
122,Don't know,Yes,No,Don't know,Don't know,Yes
123,Yes,No,No,No,No,Yes
124,Yes,Yes,Not sure,No,No,Don't know
125,Yes,No,No,Yes,Yes,Yes
126,No,No,No,No,No,Don't know
127,Yes,Yes,Yes,No,Yes,Yes
128,No,No,No,No,No,Don't know
129,Don't know,Yes,No,No,No,Don't know
130,Yes,Yes,Yes,No,No,Don't know
131,No,No,Yes,No,No,Don't know
132,Don't know,No,Not sure,Don't know,Don't know,Don't know
133,No,No,Yes,No,No,Yes
134,Don't know,Yes,No,No,No,Don't know
135,No,No,No,No,No,Don't know
136,Don't know,No,No,No,No,Yes
137,Yes,Yes,Not sure,No,No,Don't know
138,Don't know,No,No,No,Don't know,Don't know
139,Don't know,No,No,Don't know,No,Don't know
140,Don't know,Yes,No,Don't know,Don't know,Don't know
141,No,Yes,Yes,Yes,Yes,Yes
142,Don't know,No,Not sure,Don't know,Don't know,Don't know
143,Yes,No,No,Don't know,Yes,Don't know
144,Don't know,No,Not sure,No,Don't know,Don't know
145,Yes,Yes,Yes,Yes,Yes,Don't know
146,No,No,No,No,No,Yes
147,No,No,No,No,No,No
148,No,Yes,Yes,Yes,Yes,Don't know
149,Don't know,No,Not sure,No,Don't know,Don't know
150,Don't know,No,Not sure,No,Yes,Yes
151,Don't know,No,Not sure,No,No,Don't know
152,No,No,No,No,No,Don't know
153,Don't know,No,Not sure,Don't know,Don't know,Don't know
154,Yes,Yes,Yes,Yes,Yes,Yes
155,Don't know,Yes,No,No,Don't know,Don't know
156,Don't know,Yes,No,No,Don't know,Don't know
157,Don't know,No,Not sure,No,No,Don't know
158,No,Yes,Yes,No,No,Don't know
159,Don't know,Yes,Not sure,No,No,Don't know
160,Yes,Yes,Yes,Yes,Yes,Yes
161,Yes,Yes,No,No,No,Don't know
162,Yes,No,No,No,Yes,Don't know
163,Don't know,No,No,No,No,Don't know
164,No,Yes,Yes,Yes,Yes,Yes
165,No,No,Yes,No,No,Yes
166,No,No,No,No,No,Don't know
167,No,No,Yes,No,No,Don't know
168,No,No,No,No,No,Don't know
169,Don't know,No,Not sure,Yes,Don't know,Don't know
170,Yes,Yes,Yes,Don't know,Don't know,Yes
171,Don't know,Yes,No,No,No,Don't know
172,Don't know,Yes,Not sure,No,No,Don't know
173,Don't know,No,No,No,Don't know,Don't know
174,Yes,Yes,Yes,Yes,No,Don't know
175,Don't know,No,Not sure,No,Don't know,Don't know
176,No,No,Not sure,No,Yes,Yes
177,Yes,Yes,Not sure,Don't know,Don't know,Yes
178,Yes,Yes,No,No,No,Yes
179,Don't know,No,No,No,No,Don't know
180,No,No,No,No,No,No
181,No,No,No,No,No,Don't know
182,Don't know,No,No,No,Don't know,Yes
183,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
184,Yes,Yes,Not sure,No,Don't know,Don't know
185,Yes,No,No,No,No,Don't know
186,Don't know,No,No,No,Don't know,Don't know
187,No,No,Yes,No,No,Don't know
188,Don't know,No,No,No,No,Don't know
189,Yes,Yes,Not sure,Don't know,No,Yes
190,No,Yes,Yes,No,No,Yes
191,Yes,Yes,No,No,No,Don't know
192,No,No,No,No,No,Don't know
193,No,Yes,No,No,No,Yes
194,No,No,No,No,No,Don't know
195,No,No,No,No,No,Don't know
196,Don't know,No,Not sure,No,No,Don't know
197,Yes,No,No,No,No,Yes
198,Yes,No,Yes,No,No,Don't know
199,Don't know,Yes,No,No,No,Don't know
200,Yes,Yes,No,No,No,Don't know
201,Yes,Yes,Yes,Yes,Yes,Yes
202,No,Yes,Not sure,No,No,Don't know
203,No,No,Yes,No,No,Don't know
204,Don't know,No,No,Don't know,Don't know,Don't know
205,Don't know,Yes,Not sure,No,No,Don't know
206,No,Yes,Yes,No,No,Don't know
207,No,Yes,Yes,No,No,Yes
208,Don't know,No,Not sure,No,Don't know,Don't know
209,No,No,No,No,No,No
210,Yes,No,Yes,Yes,Yes,Yes
211,No,No,No,No,No,Don't know
212,No,Yes,No,No,No,Don't know
213,Don't know,Yes,No,No,No,No
214,Yes,Yes,Yes,Don't know,Don't know,Yes
215,No,Yes,No,Don't know,Don't know,Don't know
216,Yes,Yes,Yes,No,No,Yes
217,Yes,No,Yes,No,Don't know,Yes
218,Yes,Yes,No,No,Don't know,Don't know
219,Yes,No,Not sure,No,No,Don't know
220,Yes,No,No,No,No,Don't know
221,Don't know,No,No,No,No,Don't know
222,Don't know,No,No,No,No,Don't know
223,No,Yes,Yes,No,No,Yes
224,Don't know,No,Not sure,Don't know,Don't know,Don't know
225,Don't know,No,No,Don't know,No,Yes
226,No,No,Yes,No,No,Don't know
227,Don't know,No,Not sure,Yes,Yes,Don't know
228,Yes,No,Not sure,No,Don't know,Don't know
229,No,Yes,Yes,No,No,Don't know
230,Yes,Yes,No,No,Yes,Don't know
231,Yes,Yes,Yes,No,Don't know,Don't know
232,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
233,Don't know,No,Not sure,No,Don't know,Don't know
234,Don't know,No,No,Don't know,Don't know,Yes
235,No,No,No,No,No,Don't know
236,Yes,Yes,Yes,No,Don't know,Don't know
237,No,No,No,No,No,Yes
238,Yes,Yes,Yes,Yes,Yes,Yes
239,Yes,Yes,Yes,Yes,Yes,Yes
240,Don't know,No,No,No,No,Don't know
241,No,Yes,No,No,No,Don't know
242,Yes,Yes,Yes,Yes,Yes,Yes
243,No,No,No,No,No,Yes
244,Yes,No,Yes,Don't know,Don't know,Yes
245,Yes,Yes,Yes,Yes,Yes,Yes
246,Don't know,Yes,No,No,Don't know,Don't know
247,No,No,No,No,No,Yes
248,No,Yes,No,No,No,Don't know
249,Yes,Yes,Yes,Yes,Don't know,Yes
250,Don't know,Yes,No,No,Don't know,Yes
251,Yes,No,No,No,Don't know,Yes
252,Yes,Yes,Yes,Yes,Don't know,Yes
253,Don't know,No,Not sure,Don't know,Don't know,No
254,Don't know,No,No,Don't know,Don't know,Don't know
255,No,No,No,No,No,Don't know
256,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
257,No,No,Yes,No,Yes,Don't know
258,No,No,No,No,No,Don't know
259,No,Yes,Yes,No,No,No
260,Yes,Yes,No,No,No,Yes
261,No,No,Yes,No,No,No
262,Yes,Yes,Yes,No,Yes,Yes
263,No,Yes,Yes,No,No,Yes
264,No,No,Not sure,No,No,Don't know
265,No,No,Yes,No,Don't know,Don't know
266,Yes,Yes,Yes,Don't know,No,Don't know
267,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
268,Yes,Yes,Yes,No,No,Yes
269,No,No,No,No,No,Don't know
270,No,No,No,No,No,Don't know
271,Yes,Yes,No,Don't know,Don't know,Yes
272,Yes,No,Yes,Yes,Yes,Yes
273,No,No,Yes,No,No,Don't know
274,Yes,Yes,No,No,No,Don't know
275,Yes,No,No,Yes,Yes,Yes
276,Yes,No,No,No,No,Don't know
277,No,No,Yes,No,No,Don't know
278,Yes,Yes,Yes,Yes,Don't know,Don't know
279,Don't know,No,No,No,Don't know,Don't know
280,Don't know,Yes,Not sure,Yes,Yes,Don't know
281,No,No,No,No,No,Yes
282,Don't know,Yes,No,No,Don't know,Don't know
283,Yes,Yes,Yes,No,No,Yes
284,Don't know,No,Not sure,No,No,Don't know
285,No,Yes,No,No,No,Yes
286,Yes,Yes,Not sure,Don't know,Don't know,Don't know
287,Don't know,No,Not sure,Don't know,Don't know,Don't know
288,No,Yes,Yes,No,No,Don't know
289,Yes,Yes,Yes,Yes,Don't know,Don't know
290,No,No,No,No,No,No
291,Don't know,No,No,No,Don't know,Don't know
292,Yes,Yes,Yes,Don't know,Don't know,Yes
293,Yes,No,No,No,Don't know,Don't know
294,Yes,Yes,Not sure,Don't know,Don't know,Don't know
295,Don't know,No,Not sure,No,Don't know,Don't know
296,Yes,Yes,Yes,Yes,Don't know,Don't know
297,Yes,No,No,Don't know,Yes,Don't know
298,Yes,Yes,No,Yes,Yes,Don't know
299,Yes,No,Yes,Yes,Yes,Don't know
300,Yes,Yes,Yes,Yes,Yes,Don't know
301,Yes,Yes,Not sure,Don't know,Don't know,Yes
302,Yes,No,Not sure,No,Don't know,Don't know
303,Yes,Yes,Yes,Yes,Yes,Yes
304,Yes,Yes,Yes,Don't know,Yes,Don't know
305,Yes,Yes,No,No,Don't know,Don't know
306,Yes,Yes,Not sure,No,No,Don't know
307,No,No,No,No,No,Don't know
308,Don't know,No,Not sure,No,Don't know,Don't know
309,Yes,No,Not sure,Yes,Yes,Don't know
310,Don't know,Yes,No,No,Don't know,Don't know
311,Yes,Yes,Not sure,Don't know,Yes,Don't know
312,No,Yes,Yes,No,No,Don't know
313,Yes,Yes,Not sure,No,Don't know,Don't know
314,Don't know,No,No,Don't know,Don't know,Don't know
315,Don't know,No,Not sure,No,Don't know,Don't know
316,Don't know,No,Not sure,No,Don't know,Don't know
317,Yes,No,Yes,Yes,Yes,Yes
318,Yes,Yes,Yes,Yes,Yes,Yes
319,No,No,Yes,No,No,Don't know
320,Yes,Yes,Yes,Don't know,Yes,Yes
321,Yes,Yes,No,No,Don't know,Don't know
322,Yes,No,Not sure,Don't know,Yes,Yes
323,Yes,Yes,Yes,No,Yes,Yes
324,Yes,Yes,No,Don't know,No,Don't know
325,Don't know,No,Not sure,Don't know,Don't know,Don't know
326,Yes,No,Yes,Yes,Yes,Yes
327,Don't know,Yes,Not sure,Don't know,Yes,Don't know
328,No,No,Yes,No,No,Don't know
329,No,Yes,No,No,No,Don't know
330,Yes,No,Not sure,Yes,Yes,Yes
331,Yes,Yes,Yes,No,Don't know,Don't know
332,Don't know,No,No,No,No,Yes
333,No,Yes,No,No,No,Don't know
334,No,No,Yes,No,No,Don't know
335,Yes,No,Not sure,Yes,Don't know,Don't know
336,Don't know,Yes,No,No,Don't know,Don't know
337,Yes,No,Not sure,Don't know,No,Don't know
338,Yes,No,Yes,Don't know,Don't know,Yes
339,Yes,No,Yes,Yes,Yes,Yes
340,Don't know,No,Not sure,No,Don't know,Don't know
341,No,No,Yes,No,No,Don't know
342,Don't know,No,Not sure,Don't know,Don't know,Don't know
343,Don't know,No,Not sure,Don't know,Don't know,Don't know
344,Don't know,No,No,No,No,Don't know
345,Yes,Yes,Yes,No,No,Yes
346,Don't know,Yes,No,No,No,Don't know
347,Don't know,Yes,No,Yes,Yes,Don't know
348,Don't know,No,No,Don't know,Don't know,Don't know
349,Yes,Yes,Yes,Don't know,Don't know,Don't know
350,Don't know,No,No,No,No,Don't know
351,Yes,Yes,Yes,Yes,Yes,Yes
352,No,No,No,No,Don't know,Don't know
353,Yes,Yes,Not sure,Don't know,Yes,Don't know
354,Yes,No,Yes,Yes,No,Don't know
355,No,Yes,Yes,No,Don't know,Yes
356,Don't know,Yes,Not sure,No,No,Don't know
357,Yes,Yes,Yes,Don't know,Yes,Yes
358,No,Yes,No,No,No,Don't know
359,No,No,Yes,No,No,Yes
360,No,No,No,No,No,Don't know
361,No,Yes,No,No,Don't know,Don't know
362,No,Yes,No,No,Don't know,No
363,Yes,Yes,Yes,Yes,Yes,Yes
364,Yes,Yes,Yes,No,No,Don't know
365,Don't know,Yes,Not sure,No,Don't know,Don't know
366,Yes,No,No,Yes,Yes,Yes
367,No,Yes,Yes,No,No,Yes
368,Yes,Yes,No,No,Don't know,Yes
369,Don't know,Yes,Not sure,No,No,No
370,Yes,No,No,Yes,Yes,Yes
371,Yes,Yes,No,Yes,Yes,Don't know
372,Yes,Yes,Yes,Yes,Yes,Yes
373,Yes,Yes,Yes,Yes,Yes,Yes
374,Don't know,Yes,Not sure,Don't know,No,Don't know
375,Yes,Yes,Yes,Don't know,Don't know,Don't know
376,Yes,Yes,Yes,No,No,Yes
377,Don't know,Yes,No,No,No,Don't know
378,Yes,Yes,Yes,Yes,Yes,Yes
379,Yes,Yes,Yes,No,Yes,Yes
380,Yes,Yes,Not sure,No,Don't know,Don't know
381,Yes,Yes,No,Yes,Yes,Yes
382,Yes,Yes,No,No,No,Don't know
383,No,Yes,No,No,No,Yes
384,Don't know,Yes,No,No,No,Don't know
385,Yes,Yes,Yes,No,Don't know,Don't know
386,Don't know,No,Not sure,No,No,Don't know
387,Yes,Yes,Yes,No,No,Don't know
388,Don't know,Yes,Not sure,No,No,Don't know
389,Yes,Yes,Yes,No,Yes,Yes
390,No,Yes,Yes,No,No,No
391,Yes,Yes,No,Don't know,Don't know,Don't know
392,Don't know,No,No,No,Don't know,Don't know
393,Don't know,Yes,No,Don't know,Don't know,Don't know
394,No,No,No,No,No,No
395,Yes,No,Not sure,No,Don't know,Don't know
396,Don't know,No,No,No,No,Don't know
397,No,No,No,No,No,Don't know
398,Don't know,No,Not sure,No,No,Don't know
399,Don't know,Yes,Not sure,Don't know,Don't know,Yes
400,Yes,Yes,Yes,No,No,Don't know
401,Yes,Yes,Yes,No,No,Don't know
402,Don't know,No,No,No,Don't know,Don't know
403,Yes,Yes,Yes,No,No,Don't know
404,Don't know,Yes,No,No,No,Don't know
405,Yes,No,Yes,No,Yes,Yes
406,Yes,Yes,Yes,Yes,Yes,Don't know
407,Don't know,No,No,Don't know,Don't know,Don't know
408,Don't know,No,No,No,No,Don't know
409,No,No,No,No,No,Don't know
410,Yes,Yes,Yes,No,No,Don't know
411,Don't know,Yes,Not sure,No,Don't know,Don't know
412,Don't know,No,Not sure,Don't know,Don't know,Don't know
413,Don't know,Yes,No,No,No,Don't know
414,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
415,Don't know,No,No,No,Don't know,Don't know
416,Don't know,Yes,Not sure,No,No,Don't know
417,No,No,No,No,No,Don't know
418,No,No,No,No,No,Don't know
419,No,Yes,Yes,No,Don't know,Don't know
420,Yes,Yes,No,No,No,Yes
421,Don't know,No,No,Don't know,No,Don't know
422,Yes,Yes,Yes,Yes,No,Don't know
423,No,Yes,No,No,Don't know,Don't know
424,Yes,Yes,Yes,No,Don't know,Don't know
425,Don't know,No,Not sure,No,Yes,Yes
426,No,Yes,Yes,No,No,Don't know
427,Yes,No,Not sure,Yes,Don't know,Don't know
428,Yes,No,No,No,No,Don't know
429,Yes,No,Yes,Yes,Yes,Yes
430,Don't know,No,No,No,No,Don't know
431,No,Yes,No,No,No,Don't know
432,No,Yes,No,No,No,Yes
433,Don't know,No,No,No,No,Don't know
434,Don't know,Yes,Not sure,No,No,Don't know
435,Don't know,No,No,No,Don't know,Don't know
436,Don't know,No,Not sure,Don't know,Don't know,Don't know
437,Don't know,No,Not sure,Don't know,Don't know,Yes
438,Yes,Yes,Yes,No,Don't know,Don't know
439,Yes,Yes,Yes,Yes,Yes,Yes
440,No,No,No,No,No,Don't know
441,Yes,No,No,Yes,Don't know,Don't know
442,Yes,Yes,Yes,Yes,Yes,Yes
443,Yes,No,No,Don't know,No,Don't know
444,Yes,Yes,Yes,No,No,Yes
445,Yes,No,No,No,Don't know,Don't know
446,Yes,No,Not sure,Don't know,Don't know,Don't know
447,Yes,Yes,Yes,No,No,Don't know
448,Yes,Yes,Yes,Yes,No,Don't know
449,Yes,Yes,Yes,Yes,Yes,Don't know
450,Yes,Yes,Yes,No,No,Yes
451,Yes,No,Yes,Yes,Don't know,Yes
452,Yes,Yes,Yes,Yes,No,Don't know
453,Don't know,Yes,Not sure,No,No,Don't know
454,Don't know,Yes,Not sure,No,Don't know,Don't know
455,Don't know,No,No,No,No,Yes
456,No,No,Yes,No,No,Don't know
457,Yes,No,No,No,No,Yes
458,No,No,No,No,No,Don't know
459,Yes,No,No,No,No,Don't know
460,Don't know,No,No,Don't know,Don't know,Don't know
461,Yes,No,Not sure,Yes,Yes,Don't know
462,No,No,Yes,No,No,Don't know
463,Don't know,No,Not sure,No,No,Don't know
464,Don't know,Yes,No,Yes,Don't know,Don't know
465,No,Yes,No,No,No,Yes
466,Yes,Yes,Yes,No,No,Don't know
467,No,Yes,No,No,No,No
468,No,No,Yes,No,No,Don't know
469,Yes,Yes,Yes,No,No,Yes
470,Yes,Yes,Yes,Yes,Yes,Yes
471,Yes,Yes,Yes,Yes,Yes,Yes
472,Don't know,No,No,No,No,Don't know
473,Yes,Yes,Yes,No,Yes,Don't know
474,Don't know,No,No,No,No,Don't know
475,Yes,Yes,Not sure,Yes,Yes,Don't know
476,No,Yes,Not sure,No,No,Don't know
477,Don't know,Yes,No,Don't know,Don't know,Don't know
478,Don't know,No,No,No,Don't know,Don't know
479,Don't know,No,Not sure,No,No,Don't know
480,Don't know,No,Not sure,Don't know,Don't know,Don't know
481,Yes,Yes,Yes,Yes,Yes,Yes
482,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
483,Yes,Yes,Yes,No,No,Don't know
484,Don't know,No,No,No,Don't know,Don't know
485,No,Yes,Yes,Don't know,No,Don't know
486,Don't know,Yes,Not sure,No,No,Don't know
487,No,Yes,Yes,No,No,Yes
488,No,No,No,No,No,Yes
489,No,No,No,No,No,Don't know
490,Yes,No,Not sure,Don't know,Don't know,Yes
491,Don't know,No,Not sure,No,No,Don't know
492,No,No,No,No,No,Don't know
493,No,Yes,No,Don't know,Don't know,Don't know
494,Don't know,No,Not sure,Don't know,Don't know,Don't know
495,Yes,Yes,Not sure,Don't know,No,Don't know
496,Yes,Yes,Not sure,No,No,Don't know
497,Don't know,Yes,Not sure,No,No,Yes
498,No,Yes,Yes,Yes,Yes,Yes
499,Don't know,No,Not sure,Don't know,Don't know,Don't know
500,Yes,Yes,Yes,No,No,Yes
501,No,No,No,No,No,No
502,No,No,Not sure,No,Don't know,Don't know
503,Don't know,No,Not sure,Don't know,Yes,Don't know
504,No,Yes,Yes,No,No,Don't know
505,Yes,Yes,Yes,Yes,Yes,Don't know
506,Yes,No,No,Yes,No,Don't know
507,Yes,Yes,No,No,No,Don't know
508,Yes,Yes,Yes,Yes,Yes,Don't know
509,Yes,No,Not sure,Yes,Don't know,Yes
510,Yes,Yes,Yes,Yes,Yes,Don't know
511,No,No,No,No,No,No
512,Don't know,No,Not sure,No,Don't know,Don't know
513,Yes,No,Yes,Yes,Yes,Yes
514,Yes,Yes,Not sure,Yes,Yes,Yes
515,Don't know,No,No,No,Don't know,Don't know
516,Yes,Yes,Not sure,Yes,Yes,Yes
517,Yes,Yes,Yes,Yes,Yes,Yes
518,Yes,Yes,Yes,No,No,Yes
519,No,Yes,Yes,No,No,Yes
520,Yes,No,Yes,Don't know,Yes,Don't know
521,Don't know,No,Not sure,Don't know,Don't know,Yes
522,No,No,No,No,No,Don't know
523,Don't know,No,Not sure,Don't know,Don't know,Don't know
524,Don't know,Yes,Yes,Don't know,No,Yes
525,Yes,Yes,Yes,Yes,Yes,Yes
526,Yes,No,Yes,Don't know,Don't know,Yes
527,No,Yes,Yes,Yes,No,No
528,Yes,Yes,Yes,No,Yes,Yes
529,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
530,No,No,No,No,No,Don't know
531,Yes,Yes,Yes,Yes,Yes,Don't know
532,No,No,No,No,No,No
533,Don't know,No,No,No,Don't know,Don't know
534,Don't know,No,Not sure,Don't know,No,Don't know
535,No,Yes,Yes,No,No,No
536,Yes,Yes,Yes,Yes,Yes,Don't know
537,Don't know,Yes,No,No,Don't know,Don't know
538,Don't know,No,No,No,No,Don't know
539,Yes,Yes,Yes,No,Don't know,Don't know
540,Don't know,Yes,No,No,No,Don't know
541,Yes,Yes,Yes,No,No,Yes
542,Don't know,No,No,No,No,Don't know
543,Yes,Yes,No,No,Don't know,Don't know
544,No,Yes,Not sure,No,No,Yes
545,Don't know,No,Not sure,No,No,Don't know
546,Don't know,No,Not sure,Don't know,Don't know,Don't know
547,Yes,Yes,No,No,Yes,Don't know
548,Yes,No,Yes,Yes,Yes,Yes
549,No,No,No,Don't know,No,Don't know
550,Don't know,No,Not sure,No,No,Don't know
551,No,Yes,No,No,No,Don't know
552,No,Yes,No,No,No,Don't know
553,No,Yes,Yes,Yes,No,Yes
554,No,Yes,No,No,No,Don't know
555,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
556,Yes,No,Yes,Yes,Yes,Yes
557,Don't know,No,No,Don't know,Don't know,Don't know
558,No,Yes,Not sure,No,Don't know,Don't know
559,Don't know,No,Not sure,Don't know,Don't know,Don't know
560,No,No,No,No,No,Don't know
561,Don't know,Yes,No,No,Don't know,Don't know
562,Don't know,No,Not sure,Don't know,Don't know,Yes
563,Don't know,Yes,Not sure,No,Don't know,Don't know
564,No,No,No,No,No,Don't know
565,Yes,Yes,Yes,No,No,Yes
566,Yes,Yes,Not sure,Yes,Don't know,Yes
567,Yes,Yes,No,No,Yes,Don't know
568,Yes,No,Not sure,Don't know,Don't know,Don't know
569,Don't know,Yes,No,No,No,Don't know
570,No,Yes,Yes,No,No,Don't know
571,Yes,Yes,Yes,Yes,Yes,Yes
572,Don't know,No,Not sure,Don't know,Yes,Don't know
573,Yes,Yes,Yes,No,No,Yes
574,No,No,Yes,No,No,Don't know
575,Don't know,No,No,No,Don't know,Don't know
576,Don't know,No,No,Don't know,No,Don't know
577,Don't know,No,Not sure,No,No,Yes
578,Yes,No,Yes,No,No,Yes
579,Yes,Yes,No,No,No,Don't know
580,Yes,Yes,No,No,No,Don't know
581,Don't know,No,No,No,Don't know,Don't know
582,Yes,Yes,Not sure,Yes,Yes,Yes
583,No,No,Yes,No,No,Yes
584,No,No,No,No,No,Yes
585,Don't know,No,Not sure,No,No,Don't know
586,No,Yes,No,No,No,Don't know
587,Yes,No,Yes,Yes,No,Yes
588,No,Yes,No,No,No,Don't know
589,No,Yes,Yes,No,No,Don't know
590,Yes,Yes,Yes,No,No,Don't know
591,Don't know,Yes,No,No,No,No
592,No,Yes,No,No,No,Don't know
593,Yes,Yes,Not sure,Yes,Yes,Don't know
594,Yes,No,Yes,Yes,Yes,Don't know
595,Yes,No,Not sure,Don't know,Don't know,Don't know
596,Yes,Yes,Not sure,No,No,Don't know
597,Don't know,No,No,No,Don't know,Don't know
598,Don't know,No,Not sure,Don't know,Don't know,Don't know
599,No,Yes,No,No,Don't know,Don't know
600,Yes,No,Yes,Yes,Yes,Don't know
601,No,No,No,Yes,Yes,Don't know
602,Yes,Yes,Not sure,No,No,Yes
603,No,Yes,Yes,No,Yes,Yes
604,Yes,No,Not sure,Don't know,Don't know,Yes
605,No,No,Yes,No,No,Don't know
